Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,7750.0,17727.272727272728,Automatic,Medium
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,8550.0,16875.0,Manual,Medium
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,6550.0,11000.0,Manual,Medium
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,4100.0,12500.0,Manual,Medium
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,3490.0,13636.363636363636,Manual,Medium
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,5600.0,24166.666666666668,Manual,Medium
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,17000.0,18333.333333333332,Automatic,Medium
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,2850.0,7741.935483870968,Manual,Small
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,3400.0,18055.555555555555,Manual,Medium
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,11400.0,17500.0,Automatic,Medium
Mercedes,CLS Class,2006,Coupe,300000.0,3200.0,Diesel,11800.0,18750.0,Automatic,Medium
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,3990.0,11875.0,Manual,Medium
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,5000.0,15891.4,Automatic,Medium
Volkswagen,Golf Plus,2010,Hatchback,150000.0,1200.0,Petrol,5500.0,12500.0,Manual,Medium
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,15900.0,18000.0,Automatic,Medium
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,8300.0,22818.18181818182,Manual,Medium
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,3200.0,22529.41176470588,Manual,Medium
Audi,A3,2009,Hatchback,248000.0,2000.0,Diesel,9299.0,19076.923076923078,Automatic,Medium
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,6900.0,17500.0,Manual,Medium
Rare,31029,1992,Sedan,68000.0,2445.0,Petrol,2222.0,2266.6666666666665,Manual,Small
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,5700.0,15545.454545454546,Manual,Medium
Rare,Model S,2013,Hatchback,113000.0,367.0,Electric,27000.0,12555.555555555555,Automatic,Medium
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,18350.0,34437.5,Automatic,Large
Rare,MKZ,2017,Sedan,157000.0,1998.0,Hybrid,17800.0,31400.0,Automatic,Large
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,27999.0,15200.0,Automatic,Medium
Rare,Caliber,2008,Hatchback,113486.0,1998.0,Metan/Propan,4495.0,8106.142857142857,Automatic,Small
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,2950.0,8103.448275862069,Manual,Small
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,17990.0,19230.76923076923,Automatic,Medium
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,9800.0,17900.0,Automatic,Medium
BMW,X1,2015,Crossover,169777.0,2000.0,Diesel,16888.0,24253.85714285714,Automatic,Medium
Mercedes,GLC Coupe,2017,Crossover,71333.0,2500.0,Diesel,43404.0,14266.6,Automatic,Medium
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,1500.0,12142.857142857143,Manual,Medium
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,11500.0,20000.0,Automatic,Medium
